minute,rmssd,coverage,hf,lf
2023-12-04T08:20:00.000,55.268,0.943,874.151,1134.739
2023-12-04T08:25:00.000,49.783,0.925,626.825,1386.178
2023-12-04T08:30:00.000,60.895,0.935,986.008,2474.812
2023-12-04T08:35:00.000,61.913,0.81,1137.461,1895.81
2023-12-04T08:40:00.000,64.893,0.96,1176.761,1884.976
2023-12-04T08:45:00.000,77.946,0.986,1873.6,851.12
2023-12-04T08:50:00.000,72.304,0.978,1676.471,879.843
2023-12-04T08:55:00.000,76.424,1.003,1872.656,1096.446
2023-12-04T09:00:00.000,82.005,0.996,1666.953,1641.044
2023-12-04T09:05:00.000,78.579,1.005,1679.337,948.075
2023-12-04T09:10:00.000,64.588,0.941,874.657,1443.076
2023-12-04T09:15:00.000,61.142,0.705,988.504,1674.499
2023-12-04T09:20:00.000,84.505,1.004,2430.305,601.865
2023-12-04T09:25:00.000,82.191,0.963,1644.386,1684.389
2023-12-04T09:30:00.000,62.254,0.932,1526.437,1288.916
2023-12-04T09:35:00.000,90.294,0.98,2363.906,3055.268
2023-12-04T09:40:00.000,68.031,0.84,890.42,1265.507
2023-12-04T09:50:00.000,90.487,0.732,2639.825,1870.271
2023-12-04T10:05:00.000,70.639,0.973,1354.445,2670.009
2023-12-04T10:10:00.000,77.004,0.902,2198.492,1289.485
2023-12-04T23:45:00.000,43.93,0.844,452.337,1479.9
2023-12-04T23:55:00.000,47.199,0.945,903.45,511.966
2023-12-05T00:00:00.000,47.119,1.001,771.31,309.581
2023-12-05T00:05:00.000,46.955,1.002,597.679,450.67
2023-12-05T00:10:00.000,47.525,1.005,695.732,429.149
2023-12-05T00:15:00.000,49.467,0.992,744.62,506.354
2023-12-05T00:20:00.000,44.796,0.924,495.113,2768.506
2023-12-05T00:25:00.000,58.223,1.005,1188.619,387.754
2023-12-05T00:30:00.000,49.151,1.004,583.576,382.749
2023-12-05T00:35:00.000,45.58,0.839,392.548,4243.391
2023-12-05T00:40:00.000,41.372,0.981,610.244,712.743
2023-12-05T00:45:00.000,31.439,0.897,292.512,729.662
2023-12-05T00:50:00.000,44.47,1.003,775.543,1084.648
2023-12-05T00:55:00.000,46.067,0.8,755.174,796.311
2023-12-05T01:15:00.000,50.592,0.931,722.994,704.074
2023-12-05T01:20:00.000,54.762,0.996,896.582,1050.986
2023-12-05T01:25:00.000,48.108,0.968,593.01,842.434
2023-12-05T01:30:00.000,45.582,1.002,583.243,973.548
2023-12-05T01:35:00.000,50.214,1.005,768.295,349.61
2023-12-05T01:40:00.000,50.348,1.004,825.096,353.813
2023-12-05T01:45:00.000,50.572,1.004,797.271,331.646
2023-12-05T01:50:00.000,49.583,0.994,841.055,512.436
2023-12-05T01:55:00.000,57.394,1.004,1184.475,356.919
2023-12-05T02:00:00.000,35.979,0.851,216.205,436.976
2023-12-05T02:05:00.000,39.801,0.996,288.715,869.767
2023-12-05T02:10:00.000,43.672,0.982,479.528,2307.012
2023-12-05T02:15:00.000,33.028,1.004,206.342,365.839
2023-12-05T02:20:00.000,63.703,0.889,1457.834,1252.275
2023-12-05T02:25:00.000,50.921,0.849,1080.177,2689.056
2023-12-05T02:30:00.000,50.56,1.0,988.71,651.332
2023-12-05T02:35:00.000,46.458,1.005,614.489,625.159
2023-12-05T02:40:00.000,49.663,1.003,849.242,389.873
2023-12-05T02:45:00.000,49.202,0.996,787.29,470.036
2023-12-05T02:50:00.000,51.707,0.998,812.211,737.754
2023-12-05T02:55:00.000,44.056,1.001,623.288,675.962
2023-12-05T03:15:00.000,57.376,0.876,768.674,1502.798
2023-12-05T03:20:00.000,63.311,0.909,1110.135,1279.174
2023-12-05T03:25:00.000,62.702,0.986,994.729,2981.047
2023-12-05T03:30:00.000,57.722,1.004,1023.459,582.478
2023-12-05T03:35:00.000,61.461,1.004,1386.414,537.989
2023-12-05T03:40:00.000,67.431,1.004,1679.781,1820.491
2023-12-05T03:45:00.000,51.092,1.003,789.376,2055.411
